category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,1,June,2019,201170066,ERF 205 of DUNKELD WEST EXT.2,T0IR0194002000002050000000,Non Residential,4,SUMMIT ROAD,Dunkeld West,201170066,3003053236,63020255,KVA,1,443,83037,0
LPU-Demand  | LV,2,June,2019,201170066,ERF 205 of DUNKELD WEST EXT.2,T0IR0194002000002050000000,Non Residential,4,SUMMIT ROAD,Dunkeld West,201170066,3003053236,63020255,KWH,2,448290,294302,0
LPU-Demand  | LV,3,June,2019,201648433,Portion 2 of ERF 5 of WIERDA VALLEY,T0IR0728000000000050000200,Non Residential,52,WIERDA ROAD,WIERDA VALLEY,201648433,3002667523,63191883,KVA,1,70,13104,0
LPU-Demand  | LV,4,June,2019,201648433,Portion 2 of ERF 5 of WIERDA VALLEY,T0IR0728000000000050000200,Non Residential,52,WIERDA ROAD,WIERDA VALLEY,201648433,3002667523,63191883,KWH,2,914,600,0
LPU-Demand  | LV,5,June,2019,201651330,ERF 27 of WYNBERG,T0IR0744000000000270000000,Non Residential,57,FIFTH STREET,WYNBERG,201651330,3003387163,63036235,KVA,1,100,18720,0
LPU-Demand  | LV,6,June,2019,201651330,ERF 27 of WYNBERG,T0IR0744000000000270000000,Non Residential,57,FIFTH STREET,WYNBERG,201651330,3003387163,63036235,KWH,2,3785,2537,0
LPU-Demand  | LV,7,June,2019,201651330,ERF 27 of WYNBERG,T0IR0744000000000270000000,Non Residential,57,FIFTH STREET,WYNBERG,201651330,3003387163,63036235,KRH,3,378,74,0
LPU-Demand  | LV,8,June,2019,201657653,ERF 365 of WYNBERG,T0IR0744000000003650000000,Non Residential,6,THIRD STREET,WYNBERG,201657653,3002673111,63034384,KVA,1,164,30813,0
LPU-Demand  | LV,9,June,2019,201657653,ERF 365 of WYNBERG,T0IR0744000000003650000000,Non Residential,6,THIRD STREET,WYNBERG,201657653,3002673111,63034384,KWH,2,57718,37892,0
LPU-Demand  | LV,10,June,2019,202320028,ERF 216 of WYNBERG,T0IR0744000000002160000000,Non Residential,127,SECOND STREET,WYNBERG,202320028,3003536817,93936557,KVA,1,247,46407,0
LPU-Demand  | LV,11,June,2019,202320028,ERF 216 of WYNBERG,T0IR0744000000002160000000,Non Residential,127,SECOND STREET,WYNBERG,202320028,3003536817,93936557,KWH,2,211652,141789,0
LPU-Demand  | LV,12,June,2019,202320028,ERF 216 of WYNBERG,T0IR0744000000002160000000,Non Residential,127,SECOND STREET,WYNBERG,202320028,3003536817,93936557,KRH,3,37232,7309,0
LPU-Demand  | LV,13,June,2019,202344685,ERF 21 of HYDE PARK,T0IR0323000000000210000000,Non Residential,35,MORSIM ROAD,HYDE PARK,202344685,3002673704,63029282,KVA,1,82,15425,0
LPU-Demand  | LV,14,June,2019,202344685,ERF 21 of HYDE PARK,T0IR0323000000000210000000,Non Residential,35,MORSIM ROAD,HYDE PARK,202344685,3002673704,63029282,KWH,2,73996,48578,0
LPU-Demand  | LV,15,June,2019,202358053,ERF 325 of HYDE PARK EXT.56,T0IR0323056000003250000000,Non Residential,111,TENTH ROAD,HYDE PARK,202358053,3002675302,63034102,KVA,1,175,32760,0
LPU-Demand  | LV,16,June,2019,202358053,ERF 325 of HYDE PARK EXT.56,T0IR0323056000003250000000,Non Residential,111,TENTH ROAD,HYDE PARK,202358053,3002675302,63034102,KWH,2,116610,76555,0
LPU-Demand  | LV,17,June,2019,202358053,ERF 325 of HYDE PARK EXT.56,T0IR0323056000003250000000,Non Residential,111,TENTH ROAD,HYDE PARK,202358053,3002675302,63034102,KRH,3,4329,850,0
LPU-Demand  | LV,18,June,2019,202390191,ERF 1618 of BRYANSTON,T0IR0114000000016180000000,Non Residential,63,ST JAMES CRESCENT,BRYANSTON,202390191,3003730339,98369876,KVA,1,220,41284,0
LPU-Demand  | LV,19,June,2019,202390191,ERF 1618 of BRYANSTON,T0IR0114000000016180000000,Non Residential,63,ST JAMES CRESCENT,BRYANSTON,202390191,3003730339,98369876,KWH,2,154604,101498,0
LPU-Demand  | LV,20,June,2019,202407776,ERF 496 of WYNBERG,T0IR0744000000004960000000,Non Residential,32,SIXTH STREET,WYNBERG,202407776,3003477191,98453179,KVA,1,125,23537,0
LPU-Demand  | LV,21,June,2019,202407776,ERF 496 of WYNBERG,T0IR0744000000004960000000,Non Residential,32,SIXTH STREET,WYNBERG,202407776,3003477191,98453179,KWH,2,47880,31433,0
