category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,1,May,2019,201170066,ERF 205 of DUNKELD WEST EXT.2,T0IR0194002000002050000000,Non Residential,4,SUMMIT ROAD,Dunkeld West,201170066,3003053236,63020255,KVA,1,502,94049,0
LPU-Demand  | LV,2,May,2019,201170066,ERF 205 of DUNKELD WEST EXT.2,T0IR0194002000002050000000,Non Residential,4,SUMMIT ROAD,Dunkeld West,201170066,3003053236,63020255,KWH,2,485164,318510,0
LPU-Demand  | LV,3,May,2019,201648433,Portion 2 of ERF 5 of WIERDA VALLEY,T0IR0728000000000050000200,Non Residential,52,WIERDA ROAD,WIERDA VALLEY,201648433,3002667523,63191883,KVA,1,70,13104,0
LPU-Demand  | LV,4,May,2019,201648433,Portion 2 of ERF 5 of WIERDA VALLEY,T0IR0728000000000050000200,Non Residential,52,WIERDA ROAD,WIERDA VALLEY,201648433,3002667523,63191883,KWH,2,838,550,0
LPU-Demand  | LV,5,May,2019,201651330,ERF 27 of WYNBERG,T0IR0744000000000270000000,Non Residential,57,FIFTH STREET,WYNBERG,201651330,3003387163,63036235,KWH,2,3302,2168,0
LPU-Demand  | LV,6,May,2019,201651330,ERF 27 of WYNBERG,T0IR0744000000000270000000,Non Residential,57,FIFTH STREET,WYNBERG,201651330,3003387163,63036235,KVA,1,100,18720,0
LPU-Demand  | LV,7,May,2019,201651330,ERF 27 of WYNBERG,T0IR0744000000000270000000,Non Residential,57,FIFTH STREET,WYNBERG,201651330,3003387163,63036235,KRH,3,330,65,0
LPU-Demand  | LV,8,May,2019,201657653,ERF 365 of WYNBERG,T0IR0744000000003650000000,Non Residential,6,THIRD STREET,WYNBERG,201657653,3002673111,63034384,KVA,1,166,31094,0
LPU-Demand  | LV,9,May,2019,201657653,ERF 365 of WYNBERG,T0IR0744000000003650000000,Non Residential,6,THIRD STREET,WYNBERG,201657653,3002673111,63034384,KWH,2,61746,40536,0
LPU-Demand  | LV,10,May,2019,202320028,ERF 216 of WYNBERG,T0IR0744000000002160000000,Non Residential,127,SECOND STREET,WYNBERG,202320028,3003536817,93936557,KVA,1,247,46407,0
LPU-Demand  | LV,11,May,2019,202320028,ERF 216 of WYNBERG,T0IR0744000000002160000000,Non Residential,127,SECOND STREET,WYNBERG,202320028,3003536817,93936557,KRH,3,32646,6408,0
LPU-Demand  | LV,12,May,2019,202320028,ERF 216 of WYNBERG,T0IR0744000000002160000000,Non Residential,127,SECOND STREET,WYNBERG,202320028,3003536817,93936557,KWH,2,186864,122676,0
LPU-Demand  | LV,13,May,2019,202344685,ERF 21 of HYDE PARK,T0IR0323000000000210000000,Non Residential,35,MORSIM ROAD,HYDE PARK,202344685,3002673704,63029282,KVA,1,75,14040,0
LPU-Demand  | LV,14,May,2019,202344685,ERF 21 of HYDE PARK,T0IR0323000000000210000000,Non Residential,35,MORSIM ROAD,HYDE PARK,202344685,3002673704,63029282,KWH,2,98940,64954,0
LPU-Demand  | LV,15,May,2019,202358053,ERF 325 of HYDE PARK EXT.56,T0IR0323056000003250000000,Non Residential,111,TENTH ROAD,HYDE PARK,202358053,3002675302,63034102,KRH,3,4961,974,0
LPU-Demand  | LV,16,May,2019,202358053,ERF 325 of HYDE PARK EXT.56,T0IR0323056000003250000000,Non Residential,111,TENTH ROAD,HYDE PARK,202358053,3002675302,63034102,KVA,1,225,42120,0
LPU-Demand  | LV,17,May,2019,202358053,ERF 325 of HYDE PARK EXT.56,T0IR0323056000003250000000,Non Residential,111,TENTH ROAD,HYDE PARK,202358053,3002675302,63034102,KWH,2,128630,84446,0
LPU-Demand  | LV,18,May,2019,202390191,ERF 1618 of BRYANSTON,T0IR0114000000016180000000,Non Residential,63,ST JAMES CRESCENT,BRYANSTON,202390191,3003730339,98369876,KVA,1,249,46613,0
LPU-Demand  | LV,19,May,2019,202390191,ERF 1618 of BRYANSTON,T0IR0114000000016180000000,Non Residential,63,ST JAMES CRESCENT,BRYANSTON,202390191,3003730339,98369876,KWH,2,172584,113301,0
LPU-Demand  | LV,20,May,2019,202407776,ERF 496 of WYNBERG,T0IR0744000000004960000000,Non Residential,32,SIXTH STREET,WYNBERG,202407776,3003477191,98453179,KWH,2,55046,36138,0
LPU-Demand  | LV,21,May,2019,202407776,ERF 496 of WYNBERG,T0IR0744000000004960000000,Non Residential,32,SIXTH STREET,WYNBERG,202407776,3003477191,98453179,KVA,1,125,23537,0
LPU-Demand  | LV,22,May,2019,202430239,ERF 4335 of BRYANSTON EXT.23,T0IR0114023000043350000000,Non Residential,1,GEORGIAN CRESCENT,BRYANSTON,202430239,3002673525,93935208,KVA,1,70,13104,0
